Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2
ComPACT_G184.582-58.042,41.03333,-9.39167,55,0.9995375871658324,SZ_G184.53-58.02,ACT-CL J0244.1-0923,
ComPACT_G19.723-57.883,336.31667,-29.625,25,0.9797357320785522,SZ_G019.63-57.90,,
ComPACT_G318.93470.248,198.25833,8.05,45,0.9986771941184998,SZ_G318.87+70.23,ACT-CL J1312.9+0802,
ComPACT_G181.296-27.607,63.25,11.675,30,0.9202407002449036,SZ_G181.27-27.64,,
ComPACT_G245.63970.239,175.69167,15.45833,72,0.9999306201934814,SZ_G245.67+70.26,ACT-CL J1142.7+1527,
ComPACT_G43.182-47.673,329.94167,-13.325,22,0.9885085225105286,SZ_G043.16-47.73,,
ComPACT_G210.84432.054,131.275,15.63333,21,0.9260123372077942,SZ_G210.76+32.07,,
ComPACT_G0.576-75.948,358.55,-33.91667,25,0.9314144253730774,SZ_G000.66-75.99,,
ComPACT_G150.786-59.826,26.44167,0.075,42,0.8663467168807983,SZ_G150.86-59.84,,
ComPACT_G83.193-61.445,355.01667,-4.20833,27,0.9861682057380676,SZ_G083.05-61.47,,
ComPACT_G23.458-32.320,309.18333,-21.56667,37,0.997757852077484,SZ_G023.49-32.31,,
ComPACT_G227.63746.755,150.53333,10.21667,36,0.9201527237892152,SZ_G227.71+46.82,,
ComPACT_G5.89559.849,219.975,11.01667,35,0.9741047024726868,SZ_G006.03+59.84,,
ComPACT_G312.50563.042,197.18333,0.49167,53,0.9574517011642456,SZ_G312.49+63.12,,
ComPACT_G334.705-73.532,1.50833,-40.675,52,0.9896915555000304,SZ_G334.58-73.57,,
ComPACT_G44.132-26.991,311.775,-3.03333,27,0.9864193797111512,SZ_G044.06-27.03,,
ComPACT_G224.29619.876,125.63333,-0.56667,25,0.9669838547706604,SZ_G224.30+19.81,,
ComPACT_G229.00925.046,132.29167,-1.73333,28,0.9024478197097778,SZ_G229.04+25.01,,
ComPACT_G246.12855.572,164.46667,5.775,50,0.9796776175498962,SZ_G246.16+55.63,,
ComPACT_G26.032-26.770,304.51667,-17.50833,35,0.9959179759025574,SZ_G026.10-26.76,,
ComPACT_G204.21817.785,115.20833,15.525,26,0.9728769063949584,SZ_G204.17+17.72,,
ComPACT_G19.55120.326,258.75833,-1.99167,25,0.9855948686599731,SZ_G019.56+20.32,,
ComPACT_G188.873-47.515,51.125,-5.23333,28,0.9790307879447936,SZ_G188.85-47.58,,
ComPACT_G225.74618.336,124.96667,-2.51667,60,0.9998502731323242,SZ_G225.75+18.31,,
ComPACT_G253.574-56.111,49.29167,-44.56667,21,0.9441505074501038,SZ_G253.54-56.09,,
ComPACT_G32.646-74.825,355.9,-26.18333,22,0.9546132683753968,SZ_G032.60-74.79,,
ComPACT_G180.990-27.701,63.0,11.825,21,0.9297127723693848,SZ_G181.01-27.72,,
ComPACT_G233.559-36.931,74.35,-31.64167,30,0.9952796697616576,SZ_G233.59-36.98,ACT-CL J0457.3-3138,
ComPACT_G26.84352.685,232.13333,17.78333,37,0.9922248125076294,SZ_G026.89+52.68,,
ComPACT_G89.982-43.946,349.18333,12.78333,68,0.9998844861984252,SZ_G089.98-43.95,ACT-CL J2316.7+1246,PSZ2 G089.99-43.91
ComPACT_G153.120-52.939,30.59167,5.725,25,0.9090840220451356,SZ_G153.15-52.95,,
ComPACT_G50.626-35.396,321.84167,-2.5,23,0.936217486858368,SZ_G050.71-35.43,,
ComPACT_G357.30777.904,203.28333,19.70833,22,0.9349598288536072,SZ_G357.35+77.94,,
ComPACT_G111.032-63.432,7.56667,-1.05,21,0.9160861372947692,SZ_G111.13-63.45,,
ComPACT_G108.852-69.575,7.95,-7.24167,31,0.972507894039154,SZ_G109.00-69.61,,
ComPACT_G295.76157.741,189.025,-4.91667,40,0.9909051060676576,SZ_G295.73+57.73,,
ComPACT_G294.06565.754,189.225,3.13333,42,0.9858119487762452,SZ_G293.89+65.77,,
ComPACT_G357.593-67.168,349.06667,-38.31667,65,0.9889100193977356,SZ_G357.60-67.12,,
ComPACT_G40.770-60.641,341.79167,-19.75,40,0.9659994840621948,SZ_G040.82-60.65,,
ComPACT_G207.596-22.809,80.15,-5.76667,32,0.8145594596862793,SZ_G207.64-22.81,,
ComPACT_G230.22751.311,155.41667,10.98333,32,0.981285810470581,SZ_G230.17+51.30,,
ComPACT_G341.15151.187,215.75833,-4.75833,23,0.9075719714164734,SZ_G341.05+51.23,,
ComPACT_G250.735-37.168,76.28333,-45.25,36,0.9750269055366516,SZ_G250.77-37.12,,
ComPACT_G239.080-63.457,42.45,-35.675,36,0.9409306049346924,SZ_G239.13-63.42,,
ComPACT_G208.92235.297,133.80833,18.31667,35,0.9423298239707948,SZ_G208.85+35.32,,
ComPACT_G238.938-48.438,61.05,-36.875,28,0.9435345530509948,SZ_G239.05-48.41,,
ComPACT_G0.22360.255,217.86667,9.05,21,0.970101237297058,SZ_G000.31+60.27,,
ComPACT_G239.66953.917,160.80833,7.625,56,0.9963388442993164,SZ_G239.66+53.93,ACT-CL J1043.2+0737,
ComPACT_G231.436-59.092,48.10833,-32.43333,46,0.9949374198913574,SZ_G231.42-59.06,,
ComPACT_G44.080-47.919,330.44167,-12.89167,24,0.8204593658447266,SZ_G043.98-47.90,,
ComPACT_G41.729-62.052,343.36667,-19.81667,43,0.8291279077529907,SZ_G041.88-62.06,,
ComPACT_G313.33177.163,195.23333,14.48333,34,0.8251849412918091,SZ_G313.63+77.18,,
