Name,RA,DEC,S,pmax,SZcat,ACT,PSZ2,Priority
ComPACT_G249.58555.569,165.8,4.34167,21,0.925850749015808,SZ_G249.62+55.54,,,3
ComPACT_G248.010-26.365,90.51667,-41.35833,58,0.9917268753051758,SZ_G248.01-26.40,,PSZ2 G247.99-26.37,1
ComPACT_G347.720-21.671,285.3,-49.05833,28,0.923482358455658,SZ_G347.70-21.64,,,2
ComPACT_G173.029-53.565,39.975,-1.59167,74,0.9999555349349976,SZ_G172.97-53.57,ACT-CL J0239.8-0134,PSZ2 G172.98-53.55,1
ComPACT_G7.648-43.172,318.15833,-36.1,63,0.9994223117828368,SZ_G007.66-43.21,,PSZ2 G007.67-43.18,1
ComPACT_G322.21165.405,200.775,3.725,57,0.9985790252685548,SZ_G322.19+65.37,ACT-CL J1323.0+0343,,1
ComPACT_G111.725-43.569,4.31667,18.55833,24,0.956074357032776,SZ_G111.77-43.56,,,3
ComPACT_G16.01674.451,208.88333,21.70833,32,0.9931208491325378,SZ_G016.08+74.42,,,1
ComPACT_G307.34278.457,193.775,15.61667,63,0.9998558759689332,SZ_G307.51+78.44,ACT-CL J1255.0+1536,,1
ComPACT_G7.91739.449,237.26667,-0.05,29,0.9828831553459167,SZ_G007.95+39.43,,,2
ComPACT_G304.258-71.314,12.25,-45.80833,64,0.999630570411682,SZ_G304.25-71.28,ACT-CL J0048.9-4547,,1
ComPACT_G43.429-41.276,324.175,-10.30833,61,0.9993366599082948,SZ_G043.44-41.31,ACT-CL J2136.6-1018,PSZ2 G043.44-41.27,1
ComPACT_G23.446-32.315,309.175,-21.575,37,0.997757852077484,SZ_G023.49-32.31,,,1
ComPACT_G269.693-44.729,60.475,-58.18333,43,0.993215560913086,SZ_G269.74-44.72,,,1
ComPACT_G342.555-68.122,353.98333,-42.73333,60,0.9992607235908508,SZ_G342.48-68.10,ACT-CL J2335.8-4244,,1
ComPACT_G245.489-29.171,86.25,-39.825,54,0.999138355255127,SZ_G245.48-29.21,ACT-CL J0544.9-3949,,1
ComPACT_G148.697-43.145,32.10833,15.84167,44,0.9628097414970398,SZ_G148.74-43.16,,,1
ComPACT_G236.704-61.980,44.44167,-34.825,46,0.9980667233467102,SZ_G236.78-61.97,ACT-CL J0257.7-3450,,1
ComPACT_G195.013-15.592,80.64167,8.11667,43,0.995415210723877,SZ_G194.99-15.62,,,1
ComPACT_G214.722-45.795,60.83333,-20.25833,34,0.9945235252380372,SZ_G214.71-45.76,,,1
ComPACT_G21.12037.962,244.03333,7.86667,22,0.9172936081886292,SZ_G021.09+37.99,,PSZ2 G021.08+38.00,3
ComPACT_G327.00082.489,196.11667,20.23333,21,0.9501761198043824,SZ_G327.14+82.46,,,3
ComPACT_G181.321-61.927,36.91667,-10.53333,27,0.9300339818000792,SZ_G181.37-61.90,,,2
ComPACT_G338.056-42.131,319.76667,-57.75,38,0.9973040819168092,SZ_G338.10-42.11,,,1
ComPACT_G35.76641.740,245.175,19.65833,25,0.9545679688453674,SZ_G035.82+41.74,,,3
ComPACT_G115.766-50.387,8.19167,12.225,58,0.998387575149536,SZ_G115.72-50.41,ACT-CL J0032.7+1212,,1
ComPACT_G4.550-61.442,341.05,-37.06667,74,0.9985455274581908,SZ_G004.47-61.45,ACT-CL J2244.1-3704,,1
ComPACT_G213.43931.841,131.96667,13.525,62,0.9985933899879456,SZ_G213.44+31.80,ACT-CL J0847.8+1331,,1
ComPACT_G208.521-44.387,60.59167,-15.66667,22,0.9716882705688475,SZ_G208.51-44.35,,PSZ2 G208.57-44.31,3
ComPACT_G291.72471.425,189.26667,8.86667,23,0.8196874260902405,SZ_G291.61+71.42,,,3
ComPACT_G312.09460.333,197.38333,-2.21667,57,0.9989197254180908,SZ_G312.02+60.34,ACT-CL J1309.4-0213,,1
ComPACT_G50.552-24.999,312.98333,2.95,29,0.9602511525154114,SZ_G050.56-25.04,ACT-CL J2051.9+0256,,2
ComPACT_G72.822-41.132,337.20833,7.46667,46,0.9962540864944458,SZ_G072.77-41.14,ACT-CL J2228.8+0727,PSZ2 G072.80-41.12,1
ComPACT_G25.06052.706,231.68333,16.79167,71,0.9995478987693788,SZ_G025.01+52.73,ACT-CL J1526.7+1647,,1
ComPACT_G42.351-46.613,328.70833,-13.375,43,0.9975109100341796,SZ_G042.38-46.65,ACT-CL J2154.8-1322,,1
ComPACT_G224.69052.963,155.28333,14.75833,66,0.997552216053009,SZ_G224.75+52.95,ACT-CL J1021.1+1445,,1
ComPACT_G2.57853.880,223.61667,5.925,65,0.999942421913147,SZ_G002.63+53.86,ACT-CL J1454.4+0555,,1
ComPACT_G228.223-60.422,46.53333,-30.825,22,0.9799373745918274,SZ_G228.19-60.39,,,3
ComPACT_G312.586-66.433,6.84167,-50.24167,45,0.9460144639015198,SZ_G312.62-66.47,ACT-CL J0027.3-5014,PSZ2 G312.63-66.40,1
ComPACT_G109.628-57.781,5.79167,4.35833,43,0.9984022974967957,SZ_G109.57-57.80,ACT-CL J0023.1+0421,,1
ComPACT_G228.47134.939,140.53333,3.76667,69,0.8617115020751953,SZ_G228.52+34.93,ACT-CL J0922.1+0346,PSZ2 G228.50+34.95,1
ComPACT_G3.046-76.060,358.38333,-33.325,56,0.9942508935928344,SZ_G003.18-76.08,,PSZ2 G003.21-76.04,1
ComPACT_G83.903-55.436,351.925,0.95833,34,0.9629790782928468,SZ_G083.87-55.47,ACT-CL J2327.7+0058,PSZ2 G083.85-55.43,1
ComPACT_G297.972-67.759,15.73333,-49.25833,59,0.9999903440475464,SZ_G298.00-67.80,ACT-CL J0102.9-4916,PSZ2 G297.97-67.74,1
ComPACT_G246.934-32.307,82.49167,-41.63333,43,0.9966226816177368,SZ_G246.97-32.29,ACT-CL J0529.9-4138,,1
ComPACT_G230.66465.462,168.34167,17.59167,45,0.9965150356292723,SZ_G230.74+65.44,ACT-CL J1113.3+1735,PSZ2 G230.76+65.41,1
ComPACT_G266.394-35.143,79.25833,-57.90833,30,0.940790057182312,SZ_G266.35-35.16,ACT-CL J0516.9-5754,,2
ComPACT_G46.898-56.660,339.3,-15.24167,23,0.991482138633728,SZ_G046.84-56.64,,,3
ComPACT_G211.31133.680,132.99167,15.89167,37,0.994252383708954,SZ_G211.27+33.69,ACT-CL J0851.9+1553,,1
ComPACT_G17.92868.298,215.16667,19.78333,69,0.9993640780448914,SZ_G017.93+68.26,ACT-CL J1420.6+1946,,1
ComPACT_G280.92157.882,181.35,-3.00833,28,0.9653321504592896,SZ_G280.99+57.88,,,2
